,book,author,avg_rating,num_of_ratings
184,The Nature of Fragile Things,Susan Meissner,4.48,304
185,A Pho Love Story,Loan Le,3.98,168
186,"The Ruthless (Bruno Johnson, #8)",David  Putnam,4.70,76
187,"Wicked All Night (Night Rebel, #3)",Jeaniene Frost,4.41,123
188,"The Rakehell of Roth (Everleigh Sisters, #2)",Amalie Howard,4.21,73
189,Never Have I Ever,Isabel Yap,4.25,8
190,"Queens of the Crusades (England's Medieval Queens, #2)",Alison Weir,4.15,85
191,Lone Stars,Justin Deabler,4.11,36
192,One Jar of Magic,Corey Ann Haydu,4.33,30
193,The Love Square,Laura Jane Williams,3.54,"2,960"
194,"Stormbreak (Seafire, #3)",Natalie C. Parker,4.24,42
195,"Fat Chance, Charlie Vega",Crystal Maldonado,4.38,170
196,Love Is for Losers,Wibke Brueggemann,4.01,357
197,Her Every Move,Kelly Irvin,4.17,30
198,"First Comes Like (Modern Love, #3)",Alisha Rai,3.75,383
